region_code,region_name,year,crime_category,value
0200000,DOLNOŚLĄSKIE,2013,economic,14542.0
0200000,DOLNOŚLĄSKIE,2013,family,2888.0
0200000,DOLNOŚLĄSKIE,2013,freedom_sexual,5544.0
0200000,DOLNOŚLĄSKIE,2013,life_health,2255.0
0200000,DOLNOŚLĄSKIE,2013,property,65998.0
0200000,DOLNOŚLĄSKIE,2013,traffic,11129.0
0200000,DOLNOŚLĄSKIE,2014,economic,12858.0
0200000,DOLNOŚLĄSKIE,2014,family,2393.0
0200000,DOLNOŚLĄSKIE,2014,freedom_sexual,3057.0
0200000,DOLNOŚLĄSKIE,2014,life_health,1752.0
0200000,DOLNOŚLĄSKIE,2014,property,51180.0
0200000,DOLNOŚLĄSKIE,2014,traffic,7005.0
0200000,DOLNOŚLĄSKIE,2015,economic,12437.0
0200000,DOLNOŚLĄSKIE,2015,family,1978.0
0200000,DOLNOŚLĄSKIE,2015,freedom_sexual,2878.0
0200000,DOLNOŚLĄSKIE,2015,life_health,1379.0
0200000,DOLNOŚLĄSKIE,2015,property,49387.0
0200000,DOLNOŚLĄSKIE,2015,traffic,6327.0
0200000,DOLNOŚLĄSKIE,2016,economic,10620.0
0200000,DOLNOŚLĄSKIE,2016,family,1896.0
0200000,DOLNOŚLĄSKIE,2016,freedom_sexual,2885.0
0200000,DOLNOŚLĄSKIE,2016,life_health,1445.0
0200000,DOLNOŚLĄSKIE,2016,property,44721.0
0200000,DOLNOŚLĄSKIE,2016,traffic,5949.0
0200000,DOLNOŚLĄSKIE,2017,economic,11615.0
0200000,DOLNOŚLĄSKIE,2017,family,2694.0
0200000,DOLNOŚLĄSKIE,2017,freedom_sexual,3243.0
0200000,DOLNOŚLĄSKIE,2017,life_health,1425.0
0200000,DOLNOŚLĄSKIE,2017,property,42051.0
0200000,DOLNOŚLĄSKIE,2017,traffic,6095.0
0200000,DOLNOŚLĄSKIE,2018,economic,12302.0
0200000,DOLNOŚLĄSKIE,2018,family,5420.0
0200000,DOLNOŚLĄSKIE,2018,freedom_sexual,3073.0
0200000,DOLNOŚLĄSKIE,2018,life_health,1332.0
0200000,DOLNOŚLĄSKIE,2018,property,40766.0
0200000,DOLNOŚLĄSKIE,2018,traffic,5659.0
0200000,DOLNOŚLĄSKIE,2019,economic,13059.0
0200000,DOLNOŚLĄSKIE,2019,family,4477.0
0200000,DOLNOŚLĄSKIE,2019,freedom_sexual,3608.0
0200000,DOLNOŚLĄSKIE,2019,life_health,1330.0
0200000,DOLNOŚLĄSKIE,2019,property,42975.0
0200000,DOLNOŚLĄSKIE,2019,traffic,6054.0
0200000,DOLNOŚLĄSKIE,2020,economic,11513.0
0200000,DOLNOŚLĄSKIE,2020,family,3925.0
0200000,DOLNOŚLĄSKIE,2020,freedom_sexual,3363.0
0200000,DOLNOŚLĄSKIE,2020,life_health,1246.0
0200000,DOLNOŚLĄSKIE,2020,property,42370.0
0200000,DOLNOŚLĄSKIE,2020,traffic,6164.0
0200000,DOLNOŚLĄSKIE,2021,economic,14828.0
0200000,DOLNOŚLĄSKIE,2021,family,3665.0
0200000,DOLNOŚLĄSKIE,2021,freedom_sexual,3350.0
0200000,DOLNOŚLĄSKIE,2021,life_health,1177.0
0200000,DOLNOŚLĄSKIE,2021,property,45868.0
0200000,DOLNOŚLĄSKIE,2021,traffic,6889.0
0200000,DOLNOŚLĄSKIE,2022,economic,16160.0
0200000,DOLNOŚLĄSKIE,2022,family,2929.0
0200000,DOLNOŚLĄSKIE,2022,freedom_sexual,3407.0
0200000,DOLNOŚLĄSKIE,2022,life_health,1170.0
0200000,DOLNOŚLĄSKIE,2022,property,48770.0
0200000,DOLNOŚLĄSKIE,2022,traffic,6451.0
0200000,DOLNOŚLĄSKIE,2023,economic,14508.0
0200000,DOLNOŚLĄSKIE,2023,family,3191.0
0200000,DOLNOŚLĄSKIE,2023,freedom_sexual,3026.0
0200000,DOLNOŚLĄSKIE,2023,life_health,1127.0
0200000,DOLNOŚLĄSKIE,2023,property,44371.0
0200000,DOLNOŚLĄSKIE,2023,traffic,5700.0
0200000,DOLNOŚLĄSKIE,2024,economic,16322.0
0200000,DOLNOŚLĄSKIE,2024,family,2913.0
0200000,DOLNOŚLĄSKIE,2024,freedom_sexual,2978.0
0200000,DOLNOŚLĄSKIE,2024,life_health,1093.0
0200000,DOLNOŚLĄSKIE,2024,property,41462.0
0200000,DOLNOŚLĄSKIE,2024,traffic,4814.0
0201000,Powiat bolesławiecki,2013,economic,293.0
0201000,Powiat bolesławiecki,2013,family,87.0
0201000,Powiat bolesławiecki,2013,freedom_sexual,82.0
0201000,Powiat bolesławiecki,2013,life_health,74.0
0201000,Powiat bolesławiecki,2013,property,1415.0
0201000,Powiat bolesławiecki,2013,traffic,505.0
0201000,Powiat bolesławiecki,2014,economic,365.0
0201000,Powiat bolesławiecki,2014,family,72.0
0201000,Powiat bolesławiecki,2014,freedom_sexual,68.0
0201000,Powiat bolesławiecki,2014,life_health,66.0
0201000,Powiat bolesławiecki,2014,property,1442.0
0201000,Powiat bolesławiecki,2014,traffic,250.0
0201000,Powiat bolesławiecki,2015,economic,290.0
0201000,Powiat bolesławiecki,2015,family,86.0
0201000,Powiat bolesławiecki,2015,freedom_sexual,77.0
0201000,Powiat bolesławiecki,2015,life_health,64.0
0201000,Powiat bolesławiecki,2015,property,1415.0
0201000,Powiat bolesławiecki,2015,traffic,256.0
0201000,Powiat bolesławiecki,2016,economic,244.0
0201000,Powiat bolesławiecki,2016,family,100.0
0201000,Powiat bolesławiecki,2016,freedom_sexual,103.0
0201000,Powiat bolesławiecki,2016,life_health,42.0
0201000,Powiat bolesławiecki,2016,property,1417.0
0201000,Powiat bolesławiecki,2016,traffic,278.0
0201000,Powiat bolesławiecki,2017,economic,273.0
0201000,Powiat bolesławiecki,2017,family,107.0
0201000,Powiat bolesławiecki,2017,freedom_sexual,117.0
0201000,Powiat bolesławiecki,2017,life_health,56.0
0201000,Powiat bolesławiecki,2017,property,1561.0
0201000,Powiat bolesławiecki,2017,traffic,228.0
0201000,Powiat bolesławiecki,2018,economic,207.0
0201000,Powiat bolesławiecki,2018,family,225.0
0201000,Powiat bolesławiecki,2018,freedom_sexual,110.0
0201000,Powiat bolesławiecki,2018,life_health,51.0
0201000,Powiat bolesławiecki,2018,property,1652.0
0201000,Powiat bolesławiecki,2018,traffic,202.0
0201000,Powiat bolesławiecki,2019,economic,174.0
0201000,Powiat bolesławiecki,2019,family,179.0
0201000,Powiat bolesławiecki,2019,freedom_sexual,140.0
0201000,Powiat bolesławiecki,2019,life_health,51.0
0201000,Powiat bolesławiecki,2019,property,1436.0
0201000,Powiat bolesławiecki,2019,traffic,263.0
0201000,Powiat bolesławiecki,2020,economic,158.0
0201000,Powiat bolesławiecki,2020,family,146.0
0201000,Powiat bolesławiecki,2020,freedom_sexual,115.0
0201000,Powiat bolesławiecki,2020,life_health,54.0
0201000,Powiat bolesławiecki,2020,property,1493.0
0201000,Powiat bolesławiecki,2020,traffic,249.0
0201000,Powiat bolesławiecki,2021,economic,435.0
0201000,Powiat bolesławiecki,2021,family,117.0
0201000,Powiat bolesławiecki,2021,freedom_sexual,107.0
0201000,Powiat bolesławiecki,2021,life_health,56.0
0201000,Powiat bolesławiecki,2021,property,1857.0
0201000,Powiat bolesławiecki,2021,traffic,243.0
0201000,Powiat bolesławiecki,2022,economic,377.0
0201000,Powiat bolesławiecki,2022,family,93.0
0201000,Powiat bolesławiecki,2022,freedom_sexual,136.0
0201000,Powiat bolesławiecki,2022,life_health,54.0
0201000,Powiat bolesławiecki,2022,property,1761.0
0201000,Powiat bolesławiecki,2022,traffic,259.0
0201000,Powiat bolesławiecki,2023,economic,347.0
0201000,Powiat bolesławiecki,2023,family,78.0
0201000,Powiat bolesławiecki,2023,freedom_sexual,108.0
0201000,Powiat bolesławiecki,2023,life_health,50.0
0201000,Powiat bolesławiecki,2023,property,1566.0
0201000,Powiat bolesławiecki,2023,traffic,249.0
0201000,Powiat bolesławiecki,2024,economic,1050.0
0201000,Powiat bolesławiecki,2024,family,106.0
0201000,Powiat bolesławiecki,2024,freedom_sexual,96.0
0201000,Powiat bolesławiecki,2024,life_health,52.0
0201000,Powiat bolesławiecki,2024,property,1959.0
0201000,Powiat bolesławiecki,2024,traffic,216.0
0202000,Powiat dzierżoniowski,2013,economic,614.0
0202000,Powiat dzierżoniowski,2013,family,69.0
0202000,Powiat dzierżoniowski,2013,freedom_sexual,94.0
0202000,Powiat dzierżoniowski,2013,life_health,81.0
0202000,Powiat dzierżoniowski,2013,property,1137.0
0202000,Powiat dzierżoniowski,2013,traffic,392.0
0202000,Powiat dzierżoniowski,2014,economic,362.0
0202000,Powiat dzierżoniowski,2014,family,69.0
0202000,Powiat dzierżoniowski,2014,freedom_sexual,114.0
0202000,Powiat dzierżoniowski,2014,life_health,44.0
0202000,Powiat dzierżoniowski,2014,property,1195.0
0202000,Powiat dzierżoniowski,2014,traffic,239.0
0202000,Powiat dzierżoniowski,2015,economic,159.0
0202000,Powiat dzierżoniowski,2015,family,61.0
0202000,Powiat dzierżoniowski,2015,freedom_sexual,92.0
0202000,Powiat dzierżoniowski,2015,life_health,46.0
0202000,Powiat dzierżoniowski,2015,property,840.0
0202000,Powiat dzierżoniowski,2015,traffic,188.0
0202000,Powiat dzierżoniowski,2016,economic,163.0
0202000,Powiat dzierżoniowski,2016,family,76.0
0202000,Powiat dzierżoniowski,2016,freedom_sexual,74.0
0202000,Powiat dzierżoniowski,2016,life_health,33.0
0202000,Powiat dzierżoniowski,2016,property,776.0
0202000,Powiat dzierżoniowski,2016,traffic,195.0
0202000,Powiat dzierżoniowski,2017,economic,210.0
0202000,Powiat dzierżoniowski,2017,family,95.0
0202000,Powiat dzierżoniowski,2017,freedom_sexual,112.0
0202000,Powiat dzierżoniowski,2017,life_health,58.0
0202000,Powiat dzierżoniowski,2017,property,736.0
0202000,Powiat dzierżoniowski,2017,traffic,131.0
0202000,Powiat dzierżoniowski,2018,economic,162.0
0202000,Powiat dzierżoniowski,2018,family,193.0
0202000,Powiat dzierżoniowski,2018,freedom_sexual,126.0
0202000,Powiat dzierżoniowski,2018,life_health,45.0
0202000,Powiat dzierżoniowski,2018,property,656.0
0202000,Powiat dzierżoniowski,2018,traffic,137.0
0202000,Powiat dzierżoniowski,2019,economic,151.0
0202000,Powiat dzierżoniowski,2019,family,200.0
0202000,Powiat dzierżoniowski,2019,freedom_sexual,115.0
0202000,Powiat dzierżoniowski,2019,life_health,45.0
0202000,Powiat dzierżoniowski,2019,property,622.0
0202000,Powiat dzierżoniowski,2019,traffic,162.0
0202000,Powiat dzierżoniowski,2020,economic,334.0
0202000,Powiat dzierżoniowski,2020,family,152.0
0202000,Powiat dzierżoniowski,2020,freedom_sexual,92.0
